selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;oneFlip;bestOfAFourth;90;90

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.02;0.033666666666666664;0.05;0.007063206700139031;0.04;0.03;0.03;0.03;0.03;0.05;0.04;0.04;0.04;0.03;0.03;0.04;0.03;0.03;0.04;0.03;0.04;0.02;0.04;0.02;0.03;0.03;0.04;0.04;0.04;0.03;0.02;0.03;0.03;0.04
10;0.03;0.060000000000000005;0.08;0.012382783747337808;0.06;0.06;0.05;0.06;0.06;0.08;0.08;0.07;0.06;0.06;0.05;0.07;0.06;0.04;0.06;0.05;0.08;0.03;0.07;0.05;0.06;0.06;0.07;0.08;0.07;0.05;0.05;0.05;0.04;0.07
15;0.06;0.08833333333333333;0.12;0.014851112939963643;0.08;0.09;0.08;0.1;0.09;0.1;0.12;0.09;0.08;0.09;0.08;0.1;0.08;0.06;0.08;0.08;0.12;0.06;0.11;0.1;0.09;0.09;0.1;0.1;0.1;0.07;0.08;0.09;0.07;0.07
20;0.1;0.116;0.15;0.0142828568570857;0.1;0.11;0.1;0.12;0.13;0.12;0.14;0.12;0.11;0.14;0.1;0.13;0.11;0.11;0.1;0.1;0.15;0.1;0.13;0.11;0.11;0.12;0.13;0.13;0.13;0.1;0.11;0.12;0.1;0.1
25;0.11;0.14233333333333334;0.17;0.016868774571839995;0.13;0.15;0.12;0.17;0.16;0.15;0.17;0.15;0.13;0.15;0.12;0.15;0.13;0.14;0.13;0.11;0.17;0.13;0.16;0.13;0.14;0.15;0.15;0.16;0.16;0.13;0.12;0.16;0.12;0.13
30;0.13;0.165;0.21;0.020289570391377597;0.16;0.18;0.15;0.21;0.18;0.16;0.18;0.19;0.13;0.18;0.15;0.18;0.14;0.17;0.15;0.13;0.19;0.17;0.17;0.13;0.16;0.18;0.18;0.18;0.17;0.15;0.14;0.19;0.14;0.16
35;0.15;0.191;0.24;0.022412793965352316;0.17;0.2;0.19;0.24;0.2;0.19;0.2;0.23;0.17;0.21;0.19;0.21;0.17;0.18;0.19;0.15;0.21;0.2;0.2;0.16;0.18;0.22;0.2;0.19;0.2;0.16;0.15;0.22;0.16;0.19
40;0.18;0.21633333333333332;0.26;0.022874051285730352;0.2;0.22;0.22;0.26;0.22;0.23;0.21;0.25;0.19;0.25;0.22;0.23;0.18;0.22;0.21;0.19;0.24;0.22;0.23;0.19;0.21;0.22;0.23;0.2;0.22;0.18;0.18;0.26;0.18;0.23
45;0.2;0.23966666666666667;0.28;0.019232495649002212;0.23;0.24;0.24;0.26;0.24;0.26;0.24;0.26;0.22;0.27;0.25;0.27;0.21;0.24;0.24;0.21;0.25;0.23;0.24;0.22;0.24;0.24;0.25;0.23;0.24;0.21;0.22;0.28;0.2;0.26
50;0.22;0.263;0.31;0.020840665376454116;0.26;0.25;0.27;0.28;0.27;0.29;0.26;0.29;0.24;0.29;0.26;0.28;0.24;0.27;0.26;0.22;0.27;0.24;0.25;0.26;0.26;0.26;0.29;0.26;0.28;0.23;0.24;0.31;0.23;0.28
55;0.24;0.2853333333333333;0.33;0.021715329966536436;0.29;0.28;0.3;0.3;0.29;0.31;0.3;0.32;0.28;0.31;0.28;0.29;0.25;0.3;0.29;0.24;0.29;0.26;0.29;0.27;0.28;0.27;0.31;0.27;0.28;0.25;0.27;0.33;0.25;0.31
60;0.26;0.30633333333333335;0.33;0.01722078847078599;0.32;0.31;0.33;0.31;0.32;0.33;0.33;0.33;0.3;0.32;0.31;0.3;0.29;0.32;0.32;0.26;0.3;0.3;0.29;0.28;0.3;0.29;0.32;0.29;0.31;0.28;0.3;0.32;0.29;0.32
65;0.29;0.333;0.36;0.019519221295943127;0.35;0.35;0.35;0.34;0.35;0.36;0.36;0.36;0.33;0.35;0.33;0.32;0.31;0.36;0.35;0.29;0.32;0.32;0.32;0.31;0.33;0.31;0.35;0.31;0.32;0.32;0.32;0.36;0.31;0.33
70;0.31;0.3526666666666667;0.38;0.018785337071473823;0.36;0.37;0.36;0.36;0.37;0.38;0.37;0.38;0.35;0.37;0.35;0.34;0.34;0.37;0.37;0.31;0.35;0.37;0.34;0.32;0.36;0.33;0.37;0.33;0.33;0.34;0.35;0.37;0.32;0.35
