selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;oneFlip;bestOfAFourth;10;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.01;0.023666666666666666;0.05;0.011100550536897808;0.03;0.03;0.03;0.03;0.01;0.01;0.04;0.02;0.02;0.03;0.03;0.03;0.01;0.01;0.04;0.03;0.05;0.02;0.04;0.01;0.01;0.01;0.04;0.02;0.02;0.02;0.01;0.02;0.02;0.02
10;0.02;0.042666666666666665;0.07;0.012631530214330947;0.04;0.04;0.06;0.05;0.03;0.04;0.06;0.04;0.04;0.05;0.04;0.04;0.03;0.03;0.07;0.04;0.07;0.04;0.07;0.03;0.04;0.03;0.05;0.04;0.04;0.05;0.03;0.04;0.03;0.02
15;0.03;0.063;0.11;0.019;0.06;0.05;0.09;0.09;0.07;0.04;0.09;0.08;0.07;0.08;0.06;0.05;0.04;0.06;0.07;0.05;0.11;0.05;0.1;0.05;0.06;0.03;0.06;0.04;0.06;0.06;0.06;0.07;0.05;0.04
20;0.04;0.083;0.13;0.022678918257565402;0.08;0.07;0.11;0.1;0.1;0.05;0.09;0.13;0.08;0.12;0.09;0.06;0.06;0.08;0.1;0.07;0.12;0.06;0.11;0.07;0.08;0.05;0.09;0.05;0.1;0.08;0.07;0.1;0.08;0.04
25;0.05;0.10133333333333333;0.15;0.026297443897754694;0.09;0.08;0.13;0.11;0.11;0.06;0.09;0.15;0.1;0.11;0.13;0.07;0.08;0.13;0.13;0.09;0.12;0.07;0.14;0.07;0.1;0.07;0.14;0.05;0.12;0.1;0.08;0.12;0.12;0.08
30;0.06;0.11733333333333333;0.17;0.029431653406192155;0.1;0.1;0.15;0.12;0.11;0.06;0.1;0.17;0.12;0.1;0.15;0.08;0.1;0.14;0.14;0.09;0.13;0.09;0.16;0.08;0.14;0.08;0.16;0.09;0.16;0.12;0.1;0.15;0.14;0.09
35;0.08;0.131;0.19;0.03047950130825634;0.1;0.12;0.16;0.12;0.12;0.08;0.1;0.19;0.13;0.13;0.16;0.08;0.11;0.14;0.18;0.12;0.14;0.12;0.18;0.1;0.16;0.08;0.16;0.11;0.17;0.14;0.12;0.16;0.15;0.1
40;0.08;0.14833333333333334;0.21;0.03464903397723457;0.11;0.15;0.17;0.14;0.14;0.1;0.1;0.2;0.16;0.16;0.19;0.1;0.12;0.17;0.2;0.14;0.15;0.14;0.21;0.09;0.17;0.08;0.17;0.14;0.2;0.18;0.13;0.17;0.15;0.12
45;0.11;0.16533333333333333;0.24;0.034998412662417835;0.12;0.15;0.19;0.15;0.16;0.12;0.12;0.22;0.19;0.19;0.2;0.14;0.13;0.17;0.22;0.17;0.14;0.15;0.24;0.11;0.21;0.11;0.19;0.16;0.21;0.18;0.15;0.18;0.16;0.13
50;0.11;0.17866666666666667;0.26;0.036581719782183865;0.12;0.17;0.19;0.17;0.17;0.14;0.13;0.23;0.2;0.21;0.22;0.14;0.15;0.18;0.22;0.18;0.16;0.16;0.26;0.11;0.22;0.12;0.21;0.19;0.23;0.19;0.18;0.19;0.18;0.14
55;0.12;0.194;0.27;0.03996665276619163;0.15;0.17;0.22;0.19;0.18;0.17;0.12;0.25;0.23;0.21;0.22;0.14;0.16;0.22;0.25;0.19;0.17;0.16;0.27;0.13;0.25;0.14;0.22;0.2;0.25;0.21;0.21;0.21;0.19;0.14
60;0.14;0.209;0.29;0.043;0.17;0.17;0.23;0.19;0.2;0.18;0.15;0.28;0.25;0.24;0.26;0.16;0.16;0.25;0.27;0.21;0.17;0.16;0.29;0.14;0.24;0.17;0.24;0.21;0.26;0.22;0.23;0.21;0.22;0.14
65;0.16;0.22233333333333333;0.3;0.04055312017040804;0.2;0.18;0.24;0.21;0.22;0.2;0.17;0.29;0.25;0.25;0.27;0.18;0.17;0.27;0.26;0.24;0.18;0.16;0.3;0.16;0.24;0.18;0.24;0.22;0.28;0.23;0.24;0.23;0.25;0.16
70;0.16;0.23433333333333334;0.32;0.042006613235960305;0.22;0.19;0.26;0.22;0.25;0.21;0.18;0.29;0.26;0.25;0.28;0.2;0.17;0.28;0.28;0.27;0.18;0.19;0.32;0.16;0.23;0.19;0.27;0.23;0.29;0.24;0.25;0.24;0.26;0.17
