selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;oneFlip;bestOfAFourth;50;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.022;0.04;0.010132456102380442;0.01;0.04;0.03;0.02;0.02;0.01;0.03;0.03;0.01;0.03;0.03;0.03;0.01;0.02;0.03;0.03;0.04;0.02;0.03;0.01;0.0;0.02;0.04;0.02;0.02;0.02;0.02;0.02;0.01;0.01
10;0.01;0.03866666666666667;0.08;0.014313940369055925;0.04;0.06;0.05;0.02;0.03;0.02;0.03;0.05;0.03;0.04;0.04;0.08;0.03;0.02;0.06;0.04;0.04;0.04;0.04;0.01;0.04;0.02;0.05;0.05;0.04;0.04;0.05;0.04;0.02;0.04
15;0.02;0.06066666666666667;0.11;0.019136933459209766;0.08;0.08;0.08;0.05;0.03;0.04;0.05;0.07;0.06;0.07;0.06;0.11;0.06;0.05;0.08;0.05;0.05;0.06;0.07;0.02;0.06;0.04;0.05;0.08;0.04;0.07;0.08;0.08;0.03;0.07
20;0.04;0.07633333333333334;0.12;0.02089391192561976;0.1;0.1;0.1;0.05;0.07;0.05;0.07;0.09;0.07;0.09;0.08;0.12;0.08;0.06;0.09;0.07;0.05;0.06;0.09;0.04;0.07;0.04;0.08;0.09;0.06;0.09;0.1;0.1;0.04;0.09
25;0.05;0.09566666666666666;0.14;0.022757172251597714;0.11;0.1;0.12;0.07;0.09;0.06;0.1;0.09;0.1;0.1;0.1;0.14;0.1;0.1;0.11;0.1;0.05;0.09;0.14;0.06;0.1;0.06;0.1;0.11;0.07;0.09;0.11;0.13;0.06;0.11
30;0.06;0.11066666666666666;0.16;0.02337139752394414;0.13;0.13;0.14;0.08;0.12;0.09;0.11;0.09;0.13;0.12;0.1;0.15;0.11;0.11;0.12;0.1;0.06;0.12;0.16;0.08;0.12;0.08;0.12;0.11;0.07;0.12;0.11;0.13;0.08;0.13
35;0.07;0.13;0.19;0.027202941017470887;0.15;0.17;0.16;0.09;0.14;0.11;0.13;0.11;0.13;0.16;0.12;0.17;0.13;0.12;0.14;0.12;0.07;0.14;0.19;0.1;0.14;0.1;0.13;0.12;0.09;0.14;0.13;0.16;0.09;0.15
40;0.09;0.14666666666666667;0.21;0.029702225879927286;0.16;0.17;0.2;0.09;0.16;0.14;0.15;0.12;0.14;0.18;0.12;0.2;0.16;0.13;0.16;0.13;0.1;0.16;0.21;0.1;0.17;0.12;0.13;0.14;0.11;0.16;0.14;0.16;0.12;0.17
45;0.11;0.162;0.24;0.034775470281986604;0.19;0.17;0.22;0.11;0.19;0.15;0.17;0.14;0.15;0.2;0.12;0.24;0.17;0.14;0.19;0.14;0.12;0.16;0.23;0.11;0.18;0.13;0.14;0.14;0.13;0.19;0.15;0.2;0.12;0.17
50;0.12;0.178;0.25;0.03187475490101845;0.21;0.18;0.23;0.14;0.2;0.17;0.19;0.16;0.16;0.21;0.15;0.25;0.2;0.15;0.21;0.16;0.13;0.18;0.23;0.15;0.2;0.14;0.17;0.14;0.16;0.2;0.16;0.2;0.12;0.19
55;0.14;0.19166666666666668;0.26;0.03215414263961782;0.23;0.21;0.24;0.15;0.23;0.17;0.2;0.19;0.17;0.2;0.16;0.26;0.22;0.15;0.21;0.17;0.15;0.2;0.24;0.17;0.21;0.15;0.2;0.15;0.17;0.21;0.17;0.22;0.14;0.21
60;0.15;0.20566666666666666;0.27;0.03441737287411048;0.24;0.23;0.26;0.15;0.25;0.19;0.19;0.21;0.17;0.22;0.19;0.27;0.23;0.18;0.23;0.19;0.16;0.22;0.26;0.19;0.21;0.16;0.22;0.15;0.19;0.23;0.17;0.23;0.15;0.23
65;0.15;0.21933333333333332;0.29;0.03863792034891227;0.25;0.25;0.29;0.15;0.28;0.21;0.21;0.21;0.2;0.24;0.2;0.29;0.26;0.2;0.23;0.19;0.17;0.23;0.28;0.2;0.21;0.2;0.23;0.15;0.2;0.24;0.18;0.24;0.15;0.24
70;0.16;0.23;0.31;0.03924283374069716;0.25;0.27;0.31;0.16;0.3;0.22;0.21;0.22;0.22;0.25;0.2;0.29;0.27;0.21;0.24;0.2;0.17;0.24;0.29;0.21;0.23;0.2;0.24;0.17;0.2;0.25;0.2;0.25;0.17;0.26
