selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;bitFlip;highFitnessFirst;90;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.023;0.06;0.018645821694595995;0.03;0.03;0.03;0.02;0.03;0.01;0.06;0.01;0.01;0.03;0.01;0.0;0.03;0.0;0.03;0.02;0.0;0.01;0.02;0.04;0.03;0.0;0.03;0.01;0.06;0.06;0.0;0.02;0.06;0.0
10;0.0;0.042333333333333334;0.08;0.02076589083623003;0.06;0.05;0.04;0.03;0.06;0.02;0.07;0.03;0.01;0.05;0.04;0.04;0.05;0.04;0.04;0.07;0.06;0.04;0.04;0.06;0.03;0.02;0.04;0.02;0.08;0.08;0.0;0.02;0.07;0.01
15;0.01;0.066;0.13;0.02893671255228094;0.08;0.07;0.08;0.06;0.09;0.02;0.11;0.05;0.04;0.06;0.05;0.05;0.09;0.09;0.07;0.1;0.08;0.07;0.06;0.09;0.04;0.04;0.04;0.06;0.1;0.13;0.01;0.04;0.1;0.01
20;0.02;0.08266666666666667;0.16;0.031930480039541465;0.09;0.07;0.09;0.08;0.11;0.06;0.14;0.07;0.05;0.06;0.06;0.09;0.1;0.1;0.12;0.13;0.1;0.1;0.08;0.1;0.05;0.06;0.05;0.07;0.1;0.16;0.02;0.05;0.1;0.02
25;0.03;0.098;0.19;0.0354400902933387;0.09;0.08;0.1;0.1;0.12;0.11;0.14;0.1;0.05;0.06;0.08;0.09;0.1;0.14;0.14;0.18;0.1;0.13;0.09;0.1;0.07;0.07;0.09;0.07;0.11;0.19;0.05;0.06;0.1;0.03
30;0.06;0.117;0.21;0.03387722932393773;0.1;0.08;0.11;0.11;0.15;0.13;0.15;0.11;0.08;0.07;0.13;0.1;0.12;0.16;0.15;0.19;0.1;0.14;0.11;0.13;0.08;0.1;0.11;0.1;0.15;0.21;0.1;0.08;0.1;0.06
35;0.08;0.13166666666666668;0.21;0.0325661719512066;0.14;0.1;0.11;0.12;0.15;0.14;0.16;0.11;0.08;0.08;0.13;0.1;0.13;0.19;0.15;0.21;0.13;0.15;0.14;0.13;0.11;0.14;0.12;0.13;0.16;0.21;0.14;0.08;0.1;0.11
40;0.08;0.14466666666666667;0.22;0.03383620677453206;0.15;0.11;0.14;0.14;0.15;0.17;0.16;0.12;0.1;0.09;0.16;0.11;0.13;0.2;0.15;0.21;0.16;0.16;0.19;0.12;0.13;0.17;0.14;0.13;0.16;0.22;0.17;0.08;0.1;0.12
45;0.09;0.15466666666666667;0.25;0.03383620677453206;0.16;0.12;0.15;0.14;0.16;0.17;0.17;0.14;0.11;0.1;0.17;0.13;0.17;0.21;0.16;0.21;0.16;0.16;0.19;0.13;0.14;0.18;0.16;0.15;0.16;0.25;0.17;0.09;0.1;0.13
50;0.09;0.16833333333333333;0.26;0.0379546513033061;0.17;0.14;0.15;0.14;0.17;0.17;0.18;0.14;0.12;0.12;0.21;0.17;0.18;0.24;0.18;0.21;0.19;0.18;0.23;0.13;0.15;0.2;0.19;0.15;0.17;0.26;0.17;0.09;0.11;0.14
55;0.12;0.18466666666666667;0.29;0.040227132910788235;0.18;0.16;0.19;0.14;0.18;0.17;0.19;0.17;0.15;0.12;0.21;0.18;0.18;0.28;0.18;0.23;0.21;0.19;0.25;0.14;0.19;0.22;0.22;0.15;0.17;0.29;0.18;0.15;0.13;0.14
60;0.15;0.2;0.31;0.039496835316262996;0.2;0.18;0.22;0.15;0.19;0.17;0.22;0.17;0.17;0.15;0.22;0.19;0.18;0.31;0.19;0.23;0.21;0.19;0.27;0.16;0.21;0.25;0.23;0.2;0.18;0.29;0.19;0.17;0.16;0.15
65;0.16;0.21733333333333332;0.34;0.04366030488008784;0.21;0.19;0.22;0.17;0.19;0.2;0.25;0.17;0.18;0.17;0.24;0.24;0.2;0.34;0.21;0.25;0.24;0.19;0.29;0.16;0.21;0.27;0.26;0.2;0.19;0.31;0.22;0.21;0.17;0.17
70;0.17;0.23266666666666666;0.34;0.04589359674532192;0.22;0.21;0.22;0.18;0.23;0.22;0.3;0.17;0.18;0.21;0.26;0.24;0.2;0.34;0.22;0.26;0.25;0.19;0.29;0.17;0.21;0.29;0.3;0.21;0.2;0.34;0.25;0.22;0.2;0.2
