selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;threeFlip;highFitnessFirst;90;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.01;0.060333333333333336;0.1;0.023449709782615413;0.07;0.04;0.1;0.06;0.03;0.03;0.08;0.08;0.06;0.08;0.08;0.06;0.05;0.03;0.09;0.09;0.06;0.07;0.07;0.03;0.05;0.03;0.04;0.03;0.06;0.07;0.09;0.08;0.09;0.01
10;0.06;0.10966666666666666;0.18;0.02857543622686372;0.14;0.08;0.15;0.13;0.1;0.09;0.13;0.11;0.11;0.12;0.12;0.06;0.09;0.07;0.15;0.18;0.11;0.08;0.12;0.09;0.13;0.07;0.1;0.13;0.12;0.12;0.15;0.08;0.09;0.07
15;0.08;0.151;0.23;0.03744774136491189;0.19;0.14;0.19;0.13;0.15;0.14;0.14;0.16;0.12;0.12;0.14;0.12;0.12;0.08;0.21;0.23;0.16;0.08;0.15;0.12;0.2;0.18;0.16;0.19;0.18;0.15;0.21;0.15;0.13;0.09
20;0.11;0.187;0.28;0.04313930922024598;0.21;0.19;0.23;0.22;0.19;0.18;0.18;0.16;0.19;0.14;0.15;0.16;0.16;0.13;0.26;0.28;0.19;0.11;0.21;0.15;0.25;0.23;0.18;0.25;0.19;0.17;0.24;0.16;0.13;0.12
25;0.16;0.22933333333333333;0.33;0.04304519588628781;0.25;0.22;0.28;0.25;0.23;0.24;0.21;0.18;0.19;0.21;0.24;0.21;0.22;0.19;0.3;0.33;0.22;0.17;0.25;0.18;0.25;0.28;0.21;0.31;0.19;0.23;0.29;0.22;0.16;0.17
30;0.19;0.2673333333333333;0.36;0.04202644669993196;0.28;0.23;0.35;0.27;0.24;0.29;0.27;0.22;0.24;0.24;0.25;0.28;0.27;0.22;0.36;0.33;0.23;0.19;0.28;0.22;0.28;0.32;0.27;0.33;0.26;0.29;0.3;0.28;0.2;0.23
35;0.21;0.2966666666666667;0.39;0.041257995858042136;0.28;0.26;0.39;0.29;0.27;0.32;0.33;0.24;0.24;0.27;0.3;0.34;0.27;0.28;0.36;0.35;0.28;0.21;0.34;0.23;0.3;0.32;0.27;0.35;0.31;0.32;0.33;0.29;0.26;0.3
40;0.24;0.32233333333333336;0.4;0.04168799454146108;0.28;0.29;0.4;0.29;0.3;0.36;0.34;0.31;0.29;0.32;0.31;0.34;0.29;0.28;0.39;0.36;0.29;0.24;0.35;0.28;0.32;0.35;0.29;0.36;0.38;0.34;0.39;0.37;0.25;0.31
45;0.28;0.34833333333333333;0.44;0.045904490218520264;0.29;0.31;0.44;0.29;0.32;0.37;0.36;0.34;0.31;0.35;0.36;0.35;0.34;0.31;0.4;0.4;0.3;0.28;0.38;0.29;0.36;0.36;0.35;0.4;0.4;0.34;0.43;0.43;0.28;0.31
50;0.29;0.38033333333333336;0.48;0.04785278350199588;0.29;0.36;0.48;0.32;0.33;0.38;0.36;0.38;0.34;0.36;0.4;0.38;0.34;0.35;0.45;0.44;0.35;0.34;0.43;0.35;0.4;0.37;0.39;0.42;0.44;0.4;0.44;0.46;0.29;0.37
55;0.31;0.40900000000000003;0.5;0.047282836914325124;0.31;0.39;0.49;0.33;0.38;0.41;0.41;0.42;0.42;0.39;0.4;0.46;0.39;0.4;0.46;0.45;0.36;0.34;0.5;0.42;0.45;0.38;0.41;0.45;0.45;0.4;0.44;0.46;0.31;0.39
60;0.31;0.42933333333333334;0.52;0.04312256434345661;0.35;0.42;0.52;0.38;0.38;0.43;0.42;0.43;0.45;0.44;0.42;0.47;0.41;0.46;0.48;0.45;0.41;0.39;0.51;0.42;0.45;0.4;0.43;0.47;0.46;0.4;0.44;0.47;0.31;0.41
65;0.32;0.454;0.55;0.043481796957654216;0.42;0.46;0.55;0.41;0.43;0.44;0.43;0.46;0.49;0.47;0.42;0.47;0.45;0.47;0.49;0.46;0.47;0.45;0.55;0.44;0.48;0.43;0.43;0.5;0.48;0.4;0.45;0.49;0.32;0.41
