selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;fiveFlip;bestOfAFourth;50;50

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.10566666666666667;0.2;0.04580271704701468;0.11;0.15;0.11;0.17;0.18;0.15;0.07;0.08;0.13;0.2;0.1;0.13;0.03;0.05;0.1;0.1;0.11;0.1;0.12;0.05;0.0;0.08;0.13;0.08;0.18;0.08;0.15;0.08;0.05;0.1
10;0.05;0.18;0.29;0.060055529859178385;0.19;0.25;0.2;0.25;0.25;0.28;0.12;0.18;0.21;0.23;0.19;0.29;0.16;0.13;0.16;0.17;0.16;0.1;0.18;0.05;0.13;0.08;0.26;0.21;0.25;0.13;0.19;0.16;0.09;0.15
15;0.13;0.24933333333333332;0.37;0.060549337091517545;0.2;0.27;0.29;0.33;0.35;0.28;0.22;0.29;0.27;0.32;0.29;0.37;0.22;0.24;0.21;0.23;0.18;0.13;0.28;0.13;0.18;0.16;0.32;0.24;0.28;0.24;0.3;0.23;0.18;0.25
20;0.15;0.2936666666666667;0.44;0.06363873732946694;0.27;0.3;0.35;0.36;0.37;0.37;0.22;0.3;0.33;0.31;0.33;0.44;0.29;0.27;0.21;0.28;0.21;0.22;0.35;0.2;0.25;0.15;0.32;0.27;0.31;0.33;0.4;0.29;0.26;0.25
25;0.21;0.336;0.45;0.060199667773169645;0.29;0.34;0.4;0.45;0.41;0.41;0.34;0.31;0.34;0.35;0.33;0.44;0.3;0.3;0.25;0.36;0.26;0.27;0.39;0.25;0.29;0.21;0.35;0.36;0.31;0.37;0.45;0.29;0.33;0.33
30;0.22;0.37033333333333335;0.49;0.06968899163824624;0.36;0.33;0.49;0.48;0.45;0.44;0.37;0.39;0.34;0.43;0.38;0.47;0.33;0.34;0.29;0.39;0.26;0.32;0.41;0.24;0.31;0.22;0.36;0.41;0.38;0.41;0.48;0.29;0.35;0.39
35;0.26;0.41;0.53;0.06752777206453653;0.38;0.34;0.53;0.5;0.47;0.44;0.38;0.42;0.4;0.44;0.41;0.47;0.37;0.42;0.34;0.42;0.31;0.36;0.47;0.27;0.34;0.26;0.46;0.46;0.44;0.53;0.48;0.37;0.38;0.44
40;0.26;0.438;0.56;0.06574698979167538;0.43;0.38;0.53;0.5;0.5;0.5;0.42;0.42;0.4;0.45;0.43;0.49;0.45;0.42;0.38;0.42;0.36;0.4;0.46;0.32;0.41;0.26;0.48;0.52;0.49;0.56;0.55;0.39;0.4;0.42
45;0.3;0.4613333333333333;0.56;0.0630731497724842;0.49;0.39;0.54;0.48;0.51;0.53;0.42;0.44;0.44;0.46;0.5;0.5;0.53;0.48;0.41;0.46;0.36;0.39;0.49;0.34;0.43;0.3;0.48;0.52;0.52;0.56;0.55;0.46;0.4;0.46
50;0.33;0.4816666666666667;0.59;0.06191840508999637;0.49;0.39;0.58;0.48;0.53;0.54;0.43;0.43;0.5;0.48;0.51;0.53;0.54;0.5;0.45;0.49;0.37;0.46;0.49;0.4;0.47;0.33;0.53;0.52;0.53;0.59;0.57;0.47;0.39;0.46
55;0.34;0.5013333333333333;0.6;0.05702241274758159;0.5;0.41;0.59;0.51;0.54;0.54;0.49;0.42;0.51;0.49;0.51;0.52;0.57;0.56;0.48;0.49;0.45;0.46;0.5;0.41;0.48;0.34;0.53;0.54;0.57;0.6;0.57;0.48;0.47;0.51
60;0.34;0.5163333333333333;0.61;0.05332187376885983;0.47;0.43;0.59;0.54;0.56;0.53;0.51;0.46;0.54;0.52;0.5;0.52;0.59;0.51;0.49;0.5;0.46;0.52;0.51;0.48;0.53;0.34;0.55;0.54;0.57;0.61;0.57;0.51;0.47;0.57
65;0.34;0.532;0.63;0.05576139644353728;0.5;0.46;0.63;0.58;0.57;0.52;0.52;0.53;0.57;0.51;0.51;0.53;0.62;0.51;0.52;0.49;0.44;0.51;0.55;0.52;0.56;0.34;0.55;0.53;0.58;0.61;0.57;0.55;0.5;0.58
70;0.35;0.5443333333333333;0.62;0.05370805857183403;0.5;0.51;0.61;0.59;0.58;0.52;0.53;0.54;0.59;0.53;0.54;0.52;0.62;0.54;0.55;0.55;0.44;0.52;0.56;0.52;0.59;0.35;0.55;0.53;0.59;0.62;0.57;0.59;0.5;0.58
